2024-01-02 15:01:128 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 15:01:220 INFO  HomePage :133 - Clicking on header option Contact Us : [[ChromeDriver: chrome on windows (78f983dbcb300da68c74964c41d15e23)] -> xpath: //a[normalize-space()='Contact us']]
2024-01-02 15:01:486 INFO  ContactUsPage :48 - Getting text Contact us page[[ChromeDriver: chrome on windows (78f983dbcb300da68c74964c41d15e23)] -> xpath: //h2[normalize-space()='Get In Touch']]
2024-01-02 15:01:879 INFO  ContactUsPage :54 - Sending name to name field:Shraddha
2024-01-02 15:01:49 INFO  ContactUsPage :59 - Sending email address to email field:jasmin11@gmail.com
2024-01-02 15:01:179 INFO  ContactUsPage :64 - Sending subject to subject field:About product
2024-01-02 15:01:325 INFO  ContactUsPage :69 - Sending message to message field:[[ChromeDriver: chrome on windows (78f983dbcb300da68c74964c41d15e23)] -> name: message]
2024-01-02 15:01:853 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 15:01:927 INFO  HomePage :143 - Clicking on header option Home : [[ChromeDriver: chrome on windows (c69ff18341a025361c4faf87d8414290)] -> xpath: //a[normalize-space()='Test Cases']]
2024-01-02 15:01:775 INFO  TestCasesPage :17 - Getting Home Page URL : 
2024-01-02 15:01:923 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 15:01:01 INFO  HomePage :176 - Scrolling down to subscription
2024-01-02 15:01:30 INFO  HomePage :180 - Getting Subscription text : [[ChromeDriver: chrome on windows (ca12ca4da0a20c21121c56ba537d1e39)] -> xpath: //h2[normalize-space()='Subscription']]
2024-01-02 15:01:300 INFO  HomePage :186 - Sending email to subscription email field : [[ChromeDriver: chrome on windows (ca12ca4da0a20c21121c56ba537d1e39)] -> xpath: //input[@id='susbscribe_email']]
2024-01-02 15:01:412 INFO  HomePage :191 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (ca12ca4da0a20c21121c56ba537d1e39)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-02 15:01:445 INFO  HomePage :195 - Getting subscription success message : [[ChromeDriver: chrome on windows (ca12ca4da0a20c21121c56ba537d1e39)] -> xpath: //div[@class='alert-success alert']]
2024-01-02 15:01:989 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 15:01:43 INFO  HomePage :153 - Clicking on cart option : [[ChromeDriver: chrome on windows (33c25ff88062ff5d0dbecae9f119a586)] -> xpath: //a[normalize-space()='Cart']]
2024-01-02 15:01:860 INFO  HomePage :176 - Scrolling down to subscription
2024-01-02 15:01:936 INFO  HomePage :180 - Getting Subscription text : [[ChromeDriver: chrome on windows (33c25ff88062ff5d0dbecae9f119a586)] -> xpath: //h2[normalize-space()='Subscription']]
2024-01-02 15:01:189 INFO  HomePage :186 - Sending email to subscription email field : [[ChromeDriver: chrome on windows (33c25ff88062ff5d0dbecae9f119a586)] -> xpath: //input[@id='susbscribe_email']]
2024-01-02 15:01:507 INFO  HomePage :191 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (33c25ff88062ff5d0dbecae9f119a586)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-02 15:01:589 INFO  HomePage :195 - Getting subscription success message : [[ChromeDriver: chrome on windows (33c25ff88062ff5d0dbecae9f119a586)] -> xpath: //div[@class='alert-success alert']]
2024-01-02 15:01:258 INFO  HomePage :112 - Getting Home Page URL : 
